profile,D_over_C,alpha_integrated,zeta_omega_Lw_over_C,P_C_reflect,P_D_reflect_left,P_C_transmit,P_D_transmit_forward,P_D_total,two_wall_forward_echo,delta_wall_forward_P,forward_over_delta,born_forward_over_delta,born_backward_over_delta,flux_sum,flux_error
square,1.200000000e+00,1.000000000e-02,3.000000000e+01,6.230128907e-13,6.465219832e-08,9.999942050e-01,5.730304296e-06,5.794956494e-06,3.283638733e-11,9.998000300e-05,5.731450414e-02,5.730702516e-02,6.465277645e-04,1.000000000e+00,2.553512957e-15
square,1.200000000e+00,1.000000000e-01,1.000000000e-03,9.802958529e-05,9.802957781e-03,9.802960521e-01,9.802960531e-03,1.960591831e-02,9.609803517e-05,9.802960494e-03,1.000000004e+00,9.999999977e-01,9.999997199e-01,1.000000000e+00,2.220446049e-16
square,1.200000000e+00,1.000000000e-01,1.000000000e-02,9.802763975e-05,9.802689153e-03,9.802963190e-01,9.802964178e-03,1.960565333e-02,9.609810667e-05,9.802960494e-03,1.000000376e+00,9.999997685e-01,9.999719911e-01,1.000000000e+00,4.440892099e-16
square,1.200000000e+00,1.000000000e-01,1.000000000e-01,9.783325501e-05,9.775855724e-03,9.803229829e-01,9.803328155e-03,1.957918388e-02,9.610524291e-05,9.802960494e-03,1.000037505e+00,9.999768521e-01,9.972022103e-01,1.000000000e+00,0.000000000e+00
square,1.200000000e+00,1.000000000e-01,3.000000000e-01,9.627468636e-05,9.561137971e-03,9.805363695e-01,9.806217854e-03,1.936735583e-02,9.616190861e-05,9.802960494e-03,1.000332283e+00,9.997916840e-01,9.750444823e-01,1.000000000e+00,1.110223025e-16
square,1.200000000e+00,1.000000000e-01,1.000000000e+00,8.000995579e-05,7.369595280e-03,9.827173947e-01,9.833000022e-03,1.720259530e-02,9.668788943e-05,9.802960494e-03,1.003064332e+00,9.976873275e-01,7.494732652e-01,1.000000000e+00,0.000000000e+00
square,1.200000000e+00,1.000000000e-01,3.000000000e+00,1.401474685e-05,1.946361338e-04,9.900073735e-01,9.783975661e-03,9.978611795e-03,9.572617974e-05,9.802960494e-03,9.980633572e-01,9.793395049e-01,1.926150253e-02,1.000000000e+00,4.440892099e-16
square,1.200000000e+00,1.000000000e-01,1.000000000e+01,8.211993670e-07,7.711171023e-06,9.921280977e-01,7.863369908e-03,7.871081079e-03,6.183258632e-05,9.802960494e-03,8.021423644e-01,7.889209546e-01,7.753989140e-04,1.000000000e+00,6.661338148e-16
square,1.200000000e+00,1.000000000e-01,3.000000000e+01,6.180135519e-09,6.459550903e-06,9.994244370e-01,5.690972854e-04,5.755568363e-04,3.238717202e-07,9.802960494e-03,5.805361408e-02,5.730702516e-02,6.465277645e-04,1.000000000e+00,8.881784197e-16
square,1.200000000e+00,1.000000000e+00,1.000000000e-03,2.499999861e-01,2.499999304e-01,2.500000143e-01,2.500000693e-01,4.999999996e-01,6.250003463e-02,2.500000000e-01,1.000000277e+00,9.999999977e-01,9.999997199e-01,1.000000000e+00,0.000000000e+00
square,1.200000000e+00,1.000000000e+00,1.000000000e-02,2.499986111e-01,2.499930364e-01,2.500014274e-01,2.500069252e-01,4.999999615e-01,6.250346263e-02,2.500000000e-01,1.000027701e+00,9.999997685e-01,9.999719911e-01,1.000000000e+00,2.220446049e-16
square,1.200000000e+00,1.000000000e+00,1.000000000e-01,2.498606085e-01,2.493044856e-01,2.501423070e-01,2.506925989e-01,4.999970845e-01,6.284677917e-02,2.500000000e-01,1.002770396e+00,9.999768521e-01,9.972022103e-01,1.000000000e+00,0.000000000e+00
square,1.200000000e+00,1.000000000e+00,3.000000000e-01,2.487095081e-01,2.438027752e-01,2.512490001e-01,2.562387166e-01,5.000414919e-01,6.565827991e-02,2.500000000e-01,1.024954867e+00,9.997916840e-01,9.750444823e-01,1.000000000e+00,2.220446049e-16
square,1.200000000e+00,1.000000000e+00,1.000000000e+00,2.314983673e-01,1.896046656e-01,2.598318117e-01,3.190651554e-01,5.086698210e-01,1.018025734e-01,2.500000000e-01,1.276260622e+00,9.976873275e-01,7.494732652e-01,1.000000000e+00,2.220446049e-16
square,1.200000000e+00,1.000000000e+00,3.000000000e+00,4.626800810e-02,1.018066095e-01,2.180947311e-01,6.338306513e-01,7.356372608e-01,4.017412945e-01,2.500000000e-01,2.535322605e+00,9.793395049e-01,1.926150253e-02,1.000000000e+00,6.661338148e-16
square,1.200000000e+00,1.000000000e+00,1.000000000e+01,2.173504415e-03,3.839159545e-03,4.429103465e-01,5.510769895e-01,5.549161491e-01,3.036858484e-01,2.500000000e-01,2.204307958e+00,7.889209546e-01,7.753989140e-04,1.000000000e+00,4.440892099e-16
square,1.200000000e+00,1.000000000e+00,3.000000000e+01,2.553956264e-05,6.314477171e-04,9.733751711e-01,2.596784164e-02,2.659928936e-02,6.743287994e-04,2.500000000e-01,1.038713666e-01,5.730702516e-02,6.465277645e-04,1.000000000e+00,6.661338148e-16
